source,text,label
uae_mof,تصميم جناح وزارة العدل في معرض الشارقة الدولي للكتاب-45-2026,0
bahrain,Supply of Switchgear Panel,0
qatar,"EXCEUTION OF REMEDIAL AND REPAIR WORKS FOR STRUCTURAL CRACKS, SOIL GROUTING, AND WATERPROOFING WORKS AT BARWA AL BARAHA LABOUR ACCOMODATION PROJECT Qatar",0
qatar_finance,استصلاح الأراضي وأعمال إصلاحية ( موردين -مقدمي خدمات -مقاولين ) ( الدرجة الجميع ) ( الشركات المحلية والأجنبية ) ( مياه -صرف صحي -خدمات وأنشطة أخرى ) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,0
qatar,"Advisory supervision services for the road and infrastructure project leading to Zekrit camp (All-class service providers - local and foreign companies) For more details, visit the Ashghal website Qatar",0
qatar,Neotech Items Qatar,
qatar_finance,تصميم وتوريد وتركيب واختبار وتوصيل وصيانة محطتي رفع لصرف الأمطار والمياه السطحية مع الأعمال المدنية المرتبطة بها بطريق القناه البحرية بمشروع كتارا,0
bahrain,Providing Preventive Maintenance For Social Insurance Organization Offices and Branches for One year,0
qatar_finance,إعداد إستراتيجية الفنون والإطار التشغيلي لمتحف لوح وقلم متحف مقبول فدا حسين,0
bahrain,2026-114-PIP-ETDPURCHASE OF TELECONTROL HARDWARE SPARES,1
qatar_finance,"QATAR HEALTH CONGRESS 2026 – PROCURING CONFERENCE AND EVENT MANAGEMENT SERVICES FOR REGISTRATION, ATTENDANCE TRACKING AND REPORTING-HMC/MTCS/10617/2026",0
uae_mof,مشروع تحديث البنية التحتية لشبكات تقنية المعلومات,1
uae_mof,RFI_Medical_Products_Track_and_Trace_Platform,1
qatar,Infusion & Administration Consumables Qatar,0
uae_mof,renewing AppDynamics (business intelligence software) licenses to monitor servers and analyse service data for one Year,1
bahrain,Supply of WWTP membrane,0
uae_mof,اعداد مسرح وزارة العدل لإقامة معرض الكتاب القانوني-2026,0
uae_mof,خدمات الدعم التشغيلي لإدارة الأصول والممتلكات 2026,0
uae_mof,Cisco Call Manager,1
bahrain,"TEN/2025/0195ISO 9001 2015 QUALITY MANAGEMENT SYSTEM, AUDTING, CERTIFICATION AND SURVEILLANCE SERVICES",0
qatar_finance,توريد مستهلكات طبية-س.ل.م/ص/2026/10822,0
uae_mof,Sanctions & Adverse Media List for Screening System,1
bahrain,Procurement of Internet Connectivity Services,1
uae_mof,"Safe Collection, Transport, and Disposal of Laboratory Chemicals",0
qatar_finance,"تصميم وتنفيذ مشروع ادارة مواقف الشاحنات والمعددات الثقيلة (مقاولات/النشاط-مباني/الدرجة-1,2/الشركات-الكل) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني",0
qatar,"Supplying 300 various vehicles through leasing, leasing to ownership or purchase Qatar",0
qatar_finance,عقد تجديد ترخيص بيوند ترست لإدارة الوصول المتميز لمدة ثلاث سنوات,1
qatar,Contracting with specialized companies to seek consultants and expertise in the fields of information systems Qatar,1
bahrain,IN/COM/GSA/2026/1INVESTMENT OF BAHRAIN NATIONAL STADIUM AT SH ISA SPORTS CITY,0
uae_mof,شهر الامارات للابتكار 2026,0
qatar,Supply Of Plug-In Device And Ptfe Magnetic Stirring Bars Qatar,0
bahrain,PR BU2670001283 - Supply of TRANSMITTER TYPE 3311,0
uae_mof,Aruba AMC,1
qatar_finance,أعمال صيانة أجهزة التكييف والتبريد لعدد ( 38 ) مسجد بمنطقة ( السد - بن عمران ) لمدة ( 3 ) سنوات ميلادية,0
qatar,A framework contract for the supply of surgical consumables for a period of 3 years - re-offer-1HMC/MTCS/10347/BPA-67/2026 Qatar,0
qatar,Developing the integration of the health information exchange platform in the State of Qatar and supporting and maintaining the Medic application Qatar,1
bahrain,Benefit from renting 169 advertising sites of the type of lamp posts for a period of 4 months,0
bahrain,Supply of instrumental spares,0
qatar,Supplying specialized professional services upon request for a period of 3 years Qatar,
qatar_finance,توفير خدمات الصيانة لمباني الوكالة,0
qatar_finance,تقديم خدمات النظافة للمدارس ورياض الاطفال والمباني التابعة لوزارة التربية والتعليم والتعليم العالي,0
uae_mof,RFI for Chromatographic Systems Consolidation_LIMS Integration,1
uae_mof,مشروع الترجمة الذكية بيان ( المرحلة الأولى) لصالح النيابة العامة الاتحادية,1
bahrain,"Consultancy Services for the Spatial Design and Coordination of the Pearling Path Visitors Centre, Fakhro Land and Area in Front of Fakhro House",0
qatar_finance,مناقصة عامة لأعمال دراسة وتصميم وتنفيذ أعمال المعالجة لعيوب مرافق أحواض السباحة فى نادى شباب سميسمة والظعاين,0
qatar_finance,"SUPPLY OF WALL MOUNTED WATERLESS SURGICAL HAND ANTISEPTIC, 500 ML W/MOISTURIZER (ALCOHOL OR COMBINED ALCOHOL+CHG)-HMC/MTCS/10253/2026",0
bahrain,Supply of Physical Education Equipment and Tools for Historical Schools,0
qatar,"Supplying drinking water to the Public Prosecution, including 200 ml bottles with a special logo, 5 gallon capacity, and refrigerators, for a period of 3 years. Qatar",0
qatar_finance,توريد مستلزمات طبية-س.ل.م/ص/2026/10250,0
bahrain,SES-25/0011TANKERING SERVICES FOR RAINFALL & GENERAL EMERGENCY.,0
uae_mof,Event Operation and Media Services for the National Science Olympiads,0
bahrain,MAINTAINING AND REPAIRING OF AC CENTRAL ACS CHILLERS AND ALL AC UNITS AT TUBLI WPCC,0
qatar_finance,مشروع الخدمات الادارة المدارة لكل من اوراكل دي ار سي سي وقوقل جي سي بي,1
uae_mof,RFP Mini Scope of Work for the CCTV Annual Maintenance,0
bahrain,Provide technical services and support for medium and big professional dishes .,1
uae_mof,NTP server,1
bahrain,"Supply of Lamp, Floodlights, Luminaire & Lighting Fixture",0
uae_mof,مشروع تأجير الخيام والكرفانات,0
qatar_finance,تنفيذ الأعمال المتبقية من العقد رقم 2020/124 للطرق والبنية التحتية في مبيريك ( المنطقة 81)- الحزمة 01 والحزمة 02 (مقالون/ النشاط-الصرف الصحي -تخصص طرق/الدرجة 1/ الشركات - الكل ) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,0
uae_mof,تصميم وتنفيذ منصة وزارة التعليم العالي والبحث العلمي للمعارض التعليمية,1
bahrain,Shutdown of Intermediate Storage Bullets at CGP 1&2,0
bahrain,Health insurance for Bahrain Institute for Political Development employees for a period of 3 years,0
qatar_finance,أعمال الانتاج الفني لمشروع الحقيبة الوظطنية للمقبلين على الزواج,0
qatar_finance,Supply of IVF- Consumables (COPPER SURGICAL-ORIGIO-CAT#10890001)-HMC/MTCS/10638/2026,0
uae_mof,CCTV & Access Control Systems (ACS) for MOE,0
qatar,Provision for Flower arrangement services for Katara Hospitality Local Properties for Iwo (02) Years Qatar,0
qatar_finance,عقد استشاري خدمات إشراف التنفيذ -15ب للطرق والبنية التحتية في شمال سميسمة -الحزمة السابعة ( أ - ب ) ( مقدمي خدمات -الدرجة 1-2-3-4-5 -الشركات المحلية والأجنبية ) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,0
qatar_finance,الاشراف على تنفيذ 5 مباني إدارية للإسكان الحكومي,0
bahrain,Security Analytics Platform Subscription and Support,1
bahrain,Organizing the Award Ceremony of Her Royal Highness Princess Sabeeka Bint Ibrahim Al Khalifa to Encourage Productive Families for The Year 2027 Arab region level and the Accompanying Exhibition,0
qatar_finance,برنامج أسس وممارسات الابتكار,0
uae_mof,"طلب لتنفيذ البرنامج التدريبي "" CIPD LEVEL 5""",0
qatar,Renewing the Cisco Identity Services Engine license for network access management security for a period of three calendar years Qatar,1
qatar_finance,مشروع خدمات اختبار أمن التطبيقات لمدة 6 أشهر,1
qatar_finance,SIC of Total Twenty-Eight (28) Eye Wash Stations -HMC/MTCS/9563/2026-Re-tender,0
qatar_finance,توريد مستهلكات طبية خاصة بالمختبرات-س.ل.م/ص/2026/10277-إعادة طرح,0
bahrain,IN/PHC/2026/NB12MAINTENANCE OF MEDICAL GAS SYSTEM AT All PHC FOR 2027-2030,0
uae_mof,شراء جدار ناري لتحسين شبكة الهيئة,1
uae_mof,DESIGN AND BUILD CONTRACT FOR SPORTS FIELDS AND THEIR COMPONENTS,0
qatar_finance,فعاليات هيئة الأشغال العامة حسب الطلب ( مقدمي خدمات -موردين -الدرجة الجميع - الشركات المحلية ) لمزيد من التفاصيل عن التصنيف وملخص المشروع يرجى زيارة موقع أشغال الإلكتروني,0
qatar,Provision of Group Life and Personal Accident Insurance for GHC Staff (3 Years) Qatar,0
qatar,Maintenance work on the unified system Qatar,
qatar_finance,ادارة المرافق بمبنى وزارة التجارة والصناعة الرئيسي في لوسيل بنظام التوريد عند الطلب,0
uae_mof,خدمة توفير الزي الرسمي للموقوفين 2026,0
qatar,CONSTRUCTION OF NGL-3 TEG & FLUE GAS SAMPLING MODIFICATION WORKS AT MESAIEED Qatar,0
bahrain,System and Chillers Maintenance,0
bahrain,Security Screening Equipment for the Conversion of Gates 19 and 20 to a Dedicated Holding Area,0
uae_mof,الهوية البصرية لوكالة أنباء الامارات,0
bahrain,Supply and Replacement of Canopy Fabric,0
uae_mof,مشروع تقديم خدمات الصيانة والدعم الفني لنظام التكليفات (Tasks System),1
bahrain,Supply of Socket,0
bahrain,Supply of Shand & Jurs Valve relief,0
qatar,Pr 223683 Qatar,
uae_mof,Educational Arabic Literacy Toolkit (KG1 to Grade 2),0
qatar,PROVISION OF ROOF WATERPROOFING WORKS IN VARIOUS PROJECTS MANAGED BY WASEEF Qatar,0
qatar_finance,تطوير تكامل منصة تبادل المعلومات الصحية فى دولة قطر ودعم وصيانة تطبيق ميديك,1
uae_mof,تنظيم احتفالية عيد الاتحاد ويوم العلم لموظفي الهيئة الوطنية,0
bahrain,RDS-26/0002CONSTRUCTION OF KING FAISAL HIGHWAY UPGRADE (FROM AL FAROOQ INTERCHANGE TO AL FATEH INTERCHANGE),0
qatar,Research Consumables & Reagents Qatar,0
bahrain,Supply and install new AC units for Building 18 & Building 27 – Campus A,0
qatar,"Design, supply, implementation and technical support for the printing operations management system (MyQ). For more information, please contact the Supreme Committee for Delivery and Legacy via email: Procurement-SM@sc.qa Qatar",1
qatar,Providing maintenance for the external lighting management system at the Cultural Village Foundation - Katara (not including spare parts) for a period of (3) years Qatar,0
bahrain,"Supply of Line Pipes, Pipe Fittings, Flanges and Stud Bolts",0
qatar_finance,توريد أدوية طبية س ل م / ص / 2026/10905,0
qatar_finance,توريد خدمات مهنية احترافية تخصصية عند الطلب لمدة 3سنوات,
qatar_finance,تصميم وتنفيذ مهرجان مرمي 2027,0
qatar,provision of organizing a temporary event at Al Wakrah Public Beach on behalf of (Al Wakrah Municipality) Qatar,0
uae_mof,The Young Entrepreneur 2nd Edition 2027,0
uae_mof,تقديم خدمات تطوير مركز الذكاء االصطناعي الخارجي للقطاع الثقافي,1
qatar_finance,توريد وتركيب بيوت محمية لقسم التقنية الحيوية والبنك الجيني,0
qatar,Supply and delivery of lighting units at the Cultural Village Foundation - Katara Qatar,0
uae_mof,توفير أدوات النظافه الشخصيه للموقوفين ( على مستوى الدولة ) 2026,0
qatar,Roads And Infrastructure Surrounding North Camp Qatar,0
uae_mof,Palo Alto and F5 renewal and Professional services,1
uae_mof,تجديد تراخيص برنامج الذكاء الاصطناعي لمدة عام لصالح النيابة العامة الاتحادية,1
qatar_finance,توفير خدمات التأمين لأكاديمية قطر لعلوم الطيران لسنة واحدة,0
qatar,Urgent: Feeding Bottle And Baby Teats Qatar,0
qatar_finance,توريد مياه شرب للنيابة العامة شامل عبوات 200 مل بشعار خاص وجالون سعة 5 وثلاجات عهدة لمدة 3 سنوات ميلادية,0
uae_mof,Developing Health Research Elsevier-Pure Platform,1
qatar_finance,اتفاقية توريد وتجديد التراخيص بنظام عند الحاجة (مقدمي خدمات- موردين/النشاط- خدمات اخرى - انشطة موردين اخرى/ الدرجه الجميع/ الشركات- المحلية ) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,
qatar,PROVISION FOR BOD MATERIAL AGREEMENT FOR INDUSTRIAL & CALIBRATION GASES Qatar,0
bahrain,Renovation of ground hall at MTT Headquarters,0
qatar_finance,مناقصة تقديم خدمات تشطيبات المباني للمدارس ورياض الاطفال و المباني التابعة التابعة لوزارة التربية والتعليم و التعليم العالي,0
bahrain,Professional services for websites and web applications at the University of Bahrain,1
bahrain,Microsoft Enterprise Licenses & Cloud Services.,1
uae_mof,"طلب لتنفيذ البرنامج التدريبي ""التحول الرقمي والذكاء الاصطناعي في مجال العدالة""",1
bahrain,Supply of 15 computers to the College of Engineering at the University of Bahrain,1
bahrain,IN/Bahrain Bourse/2026/1Data Center Firewall upgrade,1
bahrain,Microsoft Cloud Solution Provider (CSP) and Microsoft Open Value (OV) Licenses Agreements (Two Years Contract),1
bahrain,Purchasing servers for development,1
bahrain,Microsoft Licenses for One Year (CSP - Cloud Solution Provider Program),1
bahrain,Renewing technical support and licenses for the Palo Alto firewall system,1
bahrain,Palo Alto Firewall Threat Prevention Subscription for Device in an HA pair (Two Device PA-850) with ACME support for 3 years.,1
bahrain,Microsoft 365 licenses renewal,1
bahrain,Data Center Firewall upgrade,1
qatar_finance,طرح مناقصة محدودة لتجديد تراخيص منصة إدارة وتشغيل الموارد الافتراضية والبنية التحتية السحابية لمدة ثلاث سنوات,1
qatar_finance,مشروع انشاء وتشغيل منصة موحدة لإدارة خدمات المؤسسة Implementation of Unified enterprise service Management Platform,1
qatar_finance,توفير منصة متكاملة لمركز عمليات الشبكة (NOC) تشمل المراقبة والرصد التشغيلي (Observability)، وإدارة قاعدة بيانات معلومات التهيئة والأصول (CMDB),1
qatar_finance,عقد اشتراك برنامج منصة هدل لتحليل كرة القدم والكشافة لصالح أكاديمية أسباير,1
uae_mof,مشروع تفعيل تراخيصPALO ALTO في الحوسبة السحابية مع الدعم الفني,1
uae_mof,"طلب لتنفيذ البرنامج التدريبي "" تحليل البيانات باستخدام Power BI""",1
uae_mof,تجديد رخص نظام أمن المواقع والبرامج والتطبيقات (F5),1
bahrain,Supply of two (2) information technology (IT) On Site Resources for ministry of housing and urban planning,1
bahrain,Helpdesk and IT Support Services,1
bahrain,IN/MUN/SAM/A3/2026offered three telecommunications tower sites,0
bahrain,Market Survey on Telecommunications Services for Residential,0
bahrain,Provision of Microsoft Licenses and Educational Solutions,1
bahrain,Development of a New Website for the Supreme Council for Environment,1
bahrain,Supply of APC Data Center Warranty and Maintenance Services,1
bahrain,Providing maintenance services for the BIPD.org website for four years,1
bahrain,Supplying Cloud IP Telephony Solution for (36) Months including Telecommunication Usage for (36) Months.,1
bahrain,Supply of TLS-450 Plus Fuel Management System with Required Modules and Software,1
bahrain,2026-067-PIP-ETDSOFTWARE UPGRADE AND SUPPORT SERVICES FOR ASPEN ONELINER,1
bahrain,Laboratory Network Infrastructure,1
bahrain,Internal Audit Services,0
bahrain,IN/Bahrain Bourse/2026/3Vmware license renewal,1
bahrain,Procurement of Cyber Security Red Teaming and Adversary Simulation Services,1
bahrain,Terminal 4 Floor Coating Application,0
bahrain,Firewall and ZTNA Subscription Renewal,1
bahrain,Media Center and BMF Office Waterproofing,0
bahrain,Cyber Security Incident Response Retainer,1
bahrain,Supply and Delivery of Microsoft Dynamics 365 ..D365.. Licenses,1
bahrain,IN/BahrainBourse/2025/10Renew Tenable IO & Tenable Vulnerability Management & cybersecurity solution QTY 600,1
bahrain,IN/Bahrain Bourse/2025/11CROWDSTRIKE Falcon Complete MDR XDR licenses renewal,1
bahrain,Telecommunications Services Market Survey - Residential,0
bahrain,Proofpoint Licenses Renewal,1
bahrain,offered three telecommunications tower sites,0
bahrain,SOFTWARE UPGRADE AND SUPPORT SERVICES FOR ASPEN ONELINER,1
bahrain,provide Digital forensics Workstation,1
bahrain,ICT Laboratory Network Infrastructure,1
bahrain,Vmware license renewal,1
bahrain,TrendMicro Licenses Renewal,1
bahrain,DEPLOYMENT OF CONFIGURATION MANAGEMENT DATABASE (CMDB) FOR IT SYSTEMS,1
bahrain,Renew Tenable IO & Tenable Vulnerability Management & cybersecurity solution QTY 600,1
bahrain,CROWDSTRIKE Falcon Complete MDR XDR licenses renewal,1
qatar,"License renewal, maintenance, and technical support for the K2 system Qatar",1
qatar,"Quality control and assurance for the Orbital Highway Project - Contract No. (3) (All-class service providers - local and foreign companies) For more details, visit the Ashghal website Qatar",0
qatar,A solid institutional platform for managing business communications (Microsoft Teams - WhatsApp) Qatar,1
qatar,Provision for Enterprise Governed Business Communication Platform Qatar,1
qatar,"Roads and infrastructure surrounding North Camp (Contracting/activity specializing in roads/class 1-2/all companies)For more details, visit the Ashghal website Qatar",0
qatar,A project to create and operate a unified platform for managing the organization’s services Implementation of Unified enterprise service management platform Qatar,1
qatar,to renew licenses for the management and operation platform of virtual resources and cloud infrastructure for a period of three years Qatar,1
qatar,Application security testing services project for 6 months Qatar,1
qatar_finance,طرح مناقصة عامة لتجديد التراخيص والدعم الفني لنظام إدارة الوصول المميز لمدة ثلاث سنوات ميلادية,1
qatar_finance,شراء برنامج تقارير الموجات فوق الصوتية لـ 12 جهازًا في WWRC / م...ح...ط / س ل م / ص / 2026/9740,1
qatar_finance,تصميم وتوريد وتطبيق ودعم فني لنظام إدارة عمليات الطباعة (MyQ)، لمزيد من المعلومات يرجى التواصل مع اللجنة العليا للمشاريع والإرث عبر البريد الالكتروني: Procurement-SM@sc.qa,1
qatar_finance,مشروع حل اتمتة الاوركسترا الامنية ومنصة استخبارات التهديدات,1
qatar_finance,دعم وتجديد اشتراك تراخيص Appian - لجنة المناقصات المحدودة - LTC-2468/2026 - إدارة اللوازم,1
qatar_finance,استبدال تقنيات الشبكات بتقنيات جديدة,1
qatar_finance,اتفاقية استدعاء لعمليات وصيانة امن تكنولوجيا المعلومات ( الفئة -مقدمي الخدمات - الموردون / النشاط - خدمات اخرى - انشطة موردين اخرى / الدرجة - 1-2-3-4-5 / الشركات - المحلية ) لمزيد من التفاصيل يرجى زيارة موقع اشغال الالكتروني,1
qatar_finance,تجديد دعم حلول أمن الشبكات- LTC -2444/2026 - إدارة اللوازم,1
qatar_finance,المنصة الموحدة للموارد المائية – خدمات الدعم والخدمات المهنية - LTC 2443-2026 ( إعادة طرح ) - إدارة اللوازم,1
qatar_finance,أعمال التصميم والتنفيذ لشبكات التصريف مياه الأمطار للتحكم في الفيضانات والتخفيف من آثارها -المدينة التعليمية - المرحلة الاولى ( مقاولات -الدرجة 1-2 - الصرف الصحي -الشركات المحلية والأجنبية ) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,0
qatar_finance,توريد مضخات لقسم الورشة في إدارة تشغيل وصيانة شبكات الصرف الصحي ( موردين -الدرجة الجميع -الشركات المحلية والأجنبية ) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,0
qatar_finance,تقديم خدمات إلكترونية لمؤسسة حمد الطبية (ASSET PLUS APPLICATION) / م...ح...ط / س ل م / ص / 2026/10813,1
uae_mof,Fortinet Virtual Fortigate Firewall,1
uae_mof,“Healthy UAE” Strategy and Transformation Masterplan,0
uae_mof,"طلب لتنفيذ البرنامج التدريبي ""مهارات العرض والإلقاء والتأثير في المؤسسات العدلية""",0
uae_mof,Establishing an Information Technology Environment for the Federal Authority for Ambulance and Civil Defense,1
uae_mof,"تنفيذ البرنامج التدريبي "" أساسيات الأمن السيبراني في بيئة العمل""",1
oman_IT_tenderboard,طلب تقديم العروض لاستبدال ال.....,1
oman_IT_tenderboard,المناقصه لصيانة ودعم نظام مر.....,1
oman_IT_tenderboard,عقد لتجديد تراخيص البيئة ال.....,1
oman_IT_tenderboard,عقد إستضافة الأجهزة المركزية.....,1
oman_IT_tenderboard,عقد صيانة أجهزة الحريق بديوا.....,1
oman_IT_tenderboard,توفير حزمة الرسائل النصية لل.....,1
oman_IT_tenderboard,تجديد رخصة نظام ادارة التحد.....,1
oman_IT_tenderboard,تطوير منظومة تقييم الأداء ال.....,1
oman_IT_tenderboard,خدمة ادارة مركز عمليات الأمن.....,1
oman_IT_tenderboard,طاولة تفاعلية وتطبيق لعبة,1
oman_IT_tenderboard,بمصادر خارجية لخدمة استشارات.....,1
oman_IT_tenderboard,توفير خدمة البنية الأساسية ل.....,1
oman_IT_tenderboard,تراخيص ودعم نظام فييم لمدة س.....,1
